source,target,similarity
128,127,0.4999603033065796
128,92,0.49194666743278503
128,85,0.48627275228500366
128,133,0.4790472984313965
129,132,0.5448959469795227
129,130,0.541613757610321
129,127,0.5164266228675842
129,131,0.4900906980037689
129,354,0.45632678270339966
130,131,0.6612696647644043
130,129,0.541613757610321
130,117,0.5143542289733887
130,733,0.493660569190979
130,132,0.47664934396743774
131,130,0.6612696647644043
131,132,0.5886440873146057
131,129,0.4900906980037689
131,117,0.4847378730773926
131,733,0.4696744382381439
132,131,0.5886440873146057
132,129,0.5448959469795227
132,130,0.47664934396743774
132,117,0.42761197686195374
132,120,0.40399837493896484
133,128,0.4790472984313965
133,91,0.4643535614013672
133,349,0.42281395196914673
133,92,0.4151117503643036
133,129,0.41198858618736267
134,389,0.5352188944816589
134,136,0.5313209295272827
134,101,0.525562047958374
134,135,0.5168303847312927
134,145,0.5111427307128906
135,94,0.5558754205703735
135,389,0.5454165935516357
135,387,0.5397902727127075
135,121,0.524383008480072
135,134,0.5168303847312927
136,102,0.548454761505127
136,134,0.5313209295272827
136,101,0.5205153226852417
136,139,0.5009278655052185
136,103,0.4870857894420624
137,138,0.5911521315574646
137,103,0.4986303746700287
137,139,0.49379220604896545
137,136,0.47985562682151794
137,390,0.4712042212486267
138,137,0.5911521315574646
138,102,0.5151882767677307
138,143,0.4942491352558136
138,103,0.48872748017311096
138,139,0.4657537341117859
139,102,0.5371639132499695
139,136,0.5009278655052185
139,137,0.49379220604896545
139,140,0.4877264201641083
139,101,0.4717411398887634
140,158,0.49483123421669006
140,139,0.4877264201641083
140,392,0.44468313455581665
140,160,0.4176816940307617
140,157,0.4171351492404938
141,136,0.48113974928855896
141,101,0.47705286741256714
141,134,0.44803035259246826
141,139,0.44141003489494324
141,389,0.43871307373046875
142,102,0.48273903131484985
142,143,0.47804737091064453
142,122,0.46131300926208496
142,138,0.44343918561935425
142,390,0.4178115129470825
143,102,0.5789512991905212
143,138,0.4942491352558136
143,134,0.4805251359939575
143,142,0.47804737091064453
143,136,0.4720158576965332
144,122,0.4946686029434204
144,504,0.4913851022720337
144,125,0.4838296175003052
144,143,0.46766024827957153
144,453,0.4650784134864807
145,226,0.5750992298126221
145,134,0.5111427307128906
145,389,0.47397708892822266
145,123,0.46370449662208557
145,144,0.4628785252571106
146,119,0.5418766140937805
146,147,0.5202517509460449
146,437,0.5081806778907776
146,165,0.5034887790679932
146,124,0.4969145357608795
147,146,0.5202517509460449
147,148,0.48824653029441833
147,456,0.4716777205467224
147,120,0.4507136940956116
147,153,0.4491308033466339
148,147,0.48824653029441833
148,120,0.4726914167404175
148,152,0.408317506313324
148,248,0.40407702326774597
148,456,0.39872387051582336
149,152,0.5156368017196655
149,153,0.4647299349308014
149,126,0.4560089111328125
149,151,0.4450807273387909
149,429,0.42498356103897095
150,151,0.4914606511592865
150,147,0.37859034538269043
150,152,0.3736734688282013
150,149,0.364365816116333
150,153,0.3558591306209564
151,152,0.4989597201347351
151,150,0.4914606511592865
151,149,0.4450807273387909
151,248,0.4330909550189972
151,153,0.4295937716960907
152,149,0.5156368017196655
152,151,0.4989597201347351
152,153,0.4820382297039032
152,127,0.44350892305374146
152,129,0.43513500690460205
153,146,0.4889317452907562
153,165,0.48279714584350586
153,152,0.4820382297039032
153,149,0.4647299349308014
153,126,0.4507952034473419
154,429,0.4170289635658264
154,748,0.40105652809143066
154,155,0.3981019854545593
